--- EASE --- 
PREC@1 0.372093
RECALL@1 0.044572
NDCG@1 0.372093
MAP@1 0.372093
MAP 0.422428
PREC@3 0.285161
RECALL@3 0.098096
NDCG@3 0.515324
MAP@3 0.447121
PREC@5 0.249834
RECALL@5 0.139041
NDCG@5 0.527864
MAP@5 0.445496
PREC@10 0.197674
RECALL@10 0.2008
NDCG@10 0.522293
MAP@10 0.422428
AGG_DIV@1 124
GINI@1 0.9947125248452227
ENTROPY@1 1.7678563413564772
COVERAGE@1 0.013504683075582662
AGG_DIV@3 242
GINI@3 0.9913447440204809
ENTROPY@3 1.9897247593929106
COVERAGE@3 0.02635591374428229
AGG_DIV@5 324
GINI@5 0.9891947236058254
ENTROPY@5 2.0933843901538496
COVERAGE@5 0.03528642997168373
AGG_DIV@10 472
GINI@10 0.9850003495228679
ENTROPY@10 2.247633786788898
COVERAGE@10 0.05140492267479852
