--- EASE --- 
PREC@1 0.387584
RECALL@1 0.047125
NDCG@1 0.387584
MAP@1 0.387584
MAP 0.44329
PREC@3 0.317673
RECALL@3 0.107325
NDCG@3 0.550742
MAP@3 0.473154
PREC@5 0.274832
RECALL@5 0.146268
NDCG@5 0.556552
MAP@5 0.47013
PREC@10 0.212248
RECALL@10 0.212004
NDCG@10 0.550756
MAP@10 0.44329
AGG_DIV@1 121
GINI@1 0.9946491013504849
ENTROPY@1 1.782361685503103
COVERAGE@1 0.013211049241183536
AGG_DIV@3 241
GINI@3 0.9913300947153606
ENTROPY@3 1.9952107255567122
COVERAGE@3 0.026312916257233324
AGG_DIV@5 317
GINI@5 0.9890564793087819
ENTROPY@5 2.1021619430337917
COVERAGE@5 0.03461076536739819
AGG_DIV@10 464
GINI@10 0.9849723390052734
ENTROPY@10 2.250173019737648
COVERAGE@10 0.05066055246205918
