--- EASE --- 
PREC@1 0.358209
RECALL@1 0.044623
NDCG@1 0.358209
MAP@1 0.358209
MAP 0.420196
PREC@3 0.289663
RECALL@3 0.106159
NDCG@3 0.518733
MAP@3 0.439193
PREC@5 0.24942
RECALL@5 0.14153
NDCG@5 0.529371
MAP@5 0.441851
PREC@10 0.197678
RECALL@10 0.208035
NDCG@10 0.531001
MAP@10 0.420196
AGG_DIV@1 123
GINI@1 0.9947256715141297
ENTROPY@1 1.7671270783655753
COVERAGE@1 0.013414767150179955
AGG_DIV@3 232
GINI@3 0.9917843109720619
ENTROPY@3 1.9713004821090037
COVERAGE@3 0.025302650234485767
AGG_DIV@5 319
GINI@5 0.9892702651550808
ENTROPY@5 2.091503809017077
COVERAGE@5 0.03479114407241793
AGG_DIV@10 473
GINI@10 0.9849767540824663
ENTROPY@10 2.248446600047881
COVERAGE@10 0.05158686879703348
