--- EASE --- 
PREC@1 0.242572
RECALL@1 0.05806
NDCG@1 0.242572
MAP@1 0.242572
MAP 0.305899
PREC@3 0.166577
RECALL@3 0.117086
NDCG@3 0.357498
MAP@3 0.301053
PREC@5 0.132577
RECALL@5 0.152299
NDCG@5 0.384089
MAP@5 0.311061
PREC@10 0.093949
RECALL@10 0.211579
NDCG@10 0.399839
MAP@10 0.305899
AGG_DIV@1 138
GINI@1 0.9966603055394111
ENTROPY@1 1.653789830407199
COVERAGE@1 0.012513601741022852
AGG_DIV@3 271
GINI@3 0.9946247839979322
ENTROPY@3 1.8700230524578356
COVERAGE@3 0.024573812114617337
AGG_DIV@5 371
GINI@5 0.9931238607599396
ENTROPY@5 1.9832164693938334
COVERAGE@5 0.033641639463184624
AGG_DIV@10 593
GINI@10 0.9896215574107169
ENTROPY@10 2.1650900065107086
COVERAGE@10 0.05377221617700399
