--- EASE --- 
PREC@1 0.222102
RECALL@1 0.04999
NDCG@1 0.222102
MAP@1 0.222102
MAP 0.291476
PREC@3 0.157458
RECALL@3 0.104964
NDCG@3 0.343473
MAP@3 0.283857
PREC@5 0.127086
RECALL@5 0.139091
NDCG@5 0.373282
MAP@5 0.296609
PREC@10 0.091928
RECALL@10 0.199228
NDCG@10 0.388189
MAP@10 0.291476
AGG_DIV@1 138
GINI@1 0.9967730821573386
ENTROPY@1 1.6354850070316231
COVERAGE@1 0.01248642779587405
AGG_DIV@3 266
GINI@3 0.9946784201803511
ENTROPY@3 1.866337301670134
COVERAGE@3 0.02406804198335143
AGG_DIV@5 389
GINI@5 0.9929207664770786
ENTROPY@5 1.9931123597697094
COVERAGE@5 0.035197249366630476
AGG_DIV@10 626
GINI@10 0.9893960198590973
ENTROPY@10 2.1723357316994942
COVERAGE@10 0.05664133188563156
