--- EASE --- 
PREC@1 0.23913
RECALL@1 0.05437
NDCG@1 0.23913
MAP@1 0.23913
MAP 0.304582
PREC@3 0.168297
RECALL@3 0.111222
NDCG@3 0.348808
MAP@3 0.29538
PREC@5 0.135326
RECALL@5 0.149296
NDCG@5 0.383945
MAP@5 0.311137
PREC@10 0.096848
RECALL@10 0.213328
NDCG@10 0.399
MAP@10 0.304582
AGG_DIV@1 129
GINI@1 0.9969115661087006
ENTROPY@1 1.6210131160458525
COVERAGE@1 0.011656275413391162
AGG_DIV@3 262
GINI@3 0.9947285641376234
ENTROPY@3 1.8632986081870462
COVERAGE@3 0.023673985723321588
AGG_DIV@5 367
GINI@5 0.9930683081061766
ENTROPY@5 1.9859789313816758
COVERAGE@5 0.033161651757477185
AGG_DIV@10 601
GINI@10 0.9895374799237432
ENTROPY@10 2.1696079608758896
COVERAGE@10 0.05430559320502395
