--- EASE --- 
PREC@1 0.330537
RECALL@1 0.039085
NDCG@1 0.330537
MAP@1 0.330537
MAP 0.398154
PREC@3 0.276846
RECALL@3 0.094048
NDCG@3 0.493047
MAP@3 0.414989
PREC@5 0.244295
RECALL@5 0.135581
NDCG@5 0.504709
MAP@5 0.417492
PREC@10 0.197315
RECALL@10 0.201931
NDCG@10 0.510426
MAP@10 0.398154
AGG_DIV@1 127
GINI@1 0.9946167866264035
ENTROPY@1 1.7771423373486743
COVERAGE@1 0.013811854268624251
AGG_DIV@3 241
GINI@3 0.9914534575425157
ENTROPY@3 1.9872800865330966
COVERAGE@3 0.02620989668297988
AGG_DIV@5 320
GINI@5 0.9891868469853691
ENTROPY@5 2.0963170330331202
COVERAGE@5 0.034801522566612286
AGG_DIV@10 462
GINI@10 0.9850142959882261
ENTROPY@10 2.2484352911658188
COVERAGE@10 0.050244698205546494
