--- EASE --- 
PREC@1 0.338926
RECALL@1 0.04199
NDCG@1 0.338926
MAP@1 0.338926
MAP 0.405117
PREC@3 0.285235
RECALL@3 0.096812
NDCG@3 0.497231
MAP@3 0.42198
PREC@5 0.252349
RECALL@5 0.140368
NDCG@5 0.5162
MAP@5 0.426766
PREC@10 0.202349
RECALL@10 0.20788
NDCG@10 0.512408
MAP@10 0.405117
AGG_DIV@1 118
GINI@1 0.9948114002222994
ENTROPY@1 1.7623863704778389
COVERAGE@1 0.012886316479196244
AGG_DIV@3 235
GINI@3 0.9915428466345912
ENTROPY@3 1.980103744146217
COVERAGE@3 0.02566342688653489
AGG_DIV@5 316
GINI@5 0.9891287339948448
ENTROPY@5 2.0968458351239714
COVERAGE@5 0.03450911870700011
AGG_DIV@10 456
GINI@10 0.985043005367232
ENTROPY@10 2.2468892836775023
COVERAGE@10 0.049797968767063445
