--- EASE --- 
PREC@1 0.353234
RECALL@1 0.040533
NDCG@1 0.353234
MAP@1 0.353234
MAP 0.403836
PREC@3 0.290216
RECALL@3 0.091425
NDCG@3 0.500234
MAP@3 0.427861
PREC@5 0.249088
RECALL@5 0.126027
NDCG@5 0.506612
MAP@5 0.425947
PREC@10 0.197181
RECALL@10 0.201671
NDCG@10 0.505481
MAP@10 0.403836
AGG_DIV@1 135
GINI@1 0.9941739736315781
ENTROPY@1 1.7982985915569405
COVERAGE@1 0.014705882352941176
AGG_DIV@3 239
GINI@3 0.9913594509114405
ENTROPY@3 1.9917257519600293
COVERAGE@3 0.026034858387799564
AGG_DIV@5 310
GINI@5 0.9892543632524394
ENTROPY@5 2.0937006844050257
COVERAGE@5 0.03376906318082789
AGG_DIV@10 460
GINI@10 0.9852963052015463
ENTROPY@10 2.241199952457993
COVERAGE@10 0.05010893246187364
