--- EASE --- 
PREC@1 0.244456
RECALL@1 0.056381
NDCG@1 0.244456
MAP@1 0.244456
MAP 0.309491
PREC@3 0.173607
RECALL@3 0.11601
NDCG@3 0.366564
MAP@3 0.307418
PREC@5 0.136939
RECALL@5 0.152787
NDCG@5 0.387972
MAP@5 0.315179
PREC@10 0.097837
RECALL@10 0.216787
NDCG@10 0.405355
MAP@10 0.309491
AGG_DIV@1 125
GINI@1 0.9968389736356105
ENTROPY@1 1.6340090579800632
COVERAGE@1 0.011307100859339666
AGG_DIV@3 265
GINI@3 0.9946488792673653
ENTROPY@3 1.8713734768662806
COVERAGE@3 0.02397105382180009
AGG_DIV@5 378
GINI@5 0.9929771444095609
ENTROPY@5 1.9913316416328115
COVERAGE@5 0.03419267299864315
AGG_DIV@10 605
GINI@10 0.9895170672840733
ENTROPY@10 2.1702704562722444
COVERAGE@10 0.05472636815920398
