--- EASE --- 
PREC@1 0.254595
RECALL@1 0.057939
NDCG@1 0.254595
MAP@1 0.254595
MAP 0.30921
PREC@3 0.165045
RECALL@3 0.108678
NDCG@3 0.35394
MAP@3 0.30455
PREC@5 0.129405
RECALL@5 0.141709
NDCG@5 0.377173
MAP@5 0.312522
PREC@10 0.09427
RECALL@10 0.204561
NDCG@10 0.396424
MAP@10 0.30921
AGG_DIV@1 139
GINI@1 0.9967643258702431
ENTROPY@1 1.6330825511438514
COVERAGE@1 0.012596284549161759
AGG_DIV@3 272
GINI@3 0.9945860107094543
ENTROPY@3 1.8707630374310267
COVERAGE@3 0.02464884458541006
AGG_DIV@5 375
GINI@5 0.9929957805614346
ENTROPY@5 1.9885661618445267
COVERAGE@5 0.03398278205709107
AGG_DIV@10 611
GINI@10 0.9894768507352707
ENTROPY@10 2.170340509066573
COVERAGE@10 0.05536927956502039
