--- EASE --- 
PREC@1 0.360877
RECALL@1 0.038651
NDCG@1 0.360877
MAP@1 0.360877
MAP 0.416076
PREC@3 0.293985
RECALL@3 0.094533
NDCG@3 0.515987
MAP@3 0.441119
PREC@5 0.257673
RECALL@5 0.137423
NDCG@5 0.527221
MAP@5 0.442226
PREC@10 0.204216
RECALL@10 0.20389
NDCG@10 0.520663
MAP@10 0.416076
AGG_DIV@1 120
GINI@1 0.9948404221228463
ENTROPY@1 1.7645771064476485
COVERAGE@1 0.0130647795318454
AGG_DIV@3 226
GINI@3 0.9919741205000534
ENTROPY@3 1.9613389858073578
COVERAGE@3 0.024605334784975504
AGG_DIV@5 313
GINI@5 0.9893731781931671
ENTROPY@5 2.088630718988714
COVERAGE@5 0.03407729994556342
AGG_DIV@10 454
GINI@10 0.9854074381686645
ENTROPY@10 2.2382956073881335
COVERAGE@10 0.04942841589548176
