--- EASE --- 
PREC@1 0.226977
RECALL@1 0.051325
NDCG@1 0.226977
MAP@1 0.226977
MAP 0.285533
PREC@3 0.156374
RECALL@3 0.104974
NDCG@3 0.332748
MAP@3 0.280065
PREC@5 0.128602
RECALL@5 0.142195
NDCG@5 0.358008
MAP@5 0.289549
PREC@10 0.093391
RECALL@10 0.205252
NDCG@10 0.377645
MAP@10 0.285533
AGG_DIV@1 133
GINI@1 0.9967453777319181
ENTROPY@1 1.6420739035456966
COVERAGE@1 0.012079927338782924
AGG_DIV@3 272
GINI@3 0.9944730296130712
ENTROPY@3 1.88237587068237
COVERAGE@3 0.024704813805631245
AGG_DIV@5 372
GINI@5 0.9929170333023272
ENTROPY@5 1.9954031024991268
COVERAGE@5 0.033787465940054495
AGG_DIV@10 624
GINI@10 0.9894157070677507
ENTROPY@10 2.17142280207855
COVERAGE@10 0.05667574931880109
