--- EASE --- 
PREC@1 0.249864
RECALL@1 0.05646
NDCG@1 0.249864
MAP@1 0.249864
MAP 0.305013
PREC@3 0.167841
RECALL@3 0.113962
NDCG@3 0.361774
MAP@3 0.306865
PREC@5 0.132791
RECALL@5 0.148091
NDCG@5 0.380198
MAP@5 0.312495
PREC@10 0.095556
RECALL@10 0.210422
NDCG@10 0.392935
MAP@10 0.305013
AGG_DIV@1 132
GINI@1 0.9967053607819443
ENTROPY@1 1.6468685811015122
COVERAGE@1 0.01193166410557715
AGG_DIV@3 268
GINI@3 0.9947297067470148
ENTROPY@3 1.8629840149512895
COVERAGE@3 0.024224893790111182
AGG_DIV@5 386
GINI@5 0.9929361871455563
ENTROPY@5 1.9926039332856325
COVERAGE@5 0.03489107836933924
AGG_DIV@10 633
GINI@10 0.9893467475695239
ENTROPY@10 2.1735806530512027
COVERAGE@10 0.05721775286992678
