--- EASE --- 
PREC@1 0.373957
RECALL@1 0.047484
NDCG@1 0.373957
MAP@1 0.373957
MAP 0.43046
PREC@3 0.296049
RECALL@3 0.104023
NDCG@3 0.521223
MAP@3 0.448386
PREC@5 0.258765
RECALL@5 0.140977
NDCG@5 0.539753
MAP@5 0.455328
PREC@10 0.200334
RECALL@10 0.202119
NDCG@10 0.535069
MAP@10 0.43046
AGG_DIV@1 127
GINI@1 0.9944063857973424
ENTROPY@1 1.8005462773922367
COVERAGE@1 0.013867656693601222
AGG_DIV@3 234
GINI@3 0.9914854516091326
ENTROPY@3 1.9883168371916464
COVERAGE@3 0.02555143044332824
AGG_DIV@5 312
GINI@5 0.9891424339168373
ENTROPY@5 2.0997696649094633
COVERAGE@5 0.03406857392443765
AGG_DIV@10 453
GINI@10 0.9851789946572523
ENTROPY@10 2.2436721539643503
COVERAGE@10 0.04946494867875082
