--- EASE --- 
PREC@1 0.353923
RECALL@1 0.039267
NDCG@1 0.353923
MAP@1 0.353923
MAP 0.403001
PREC@3 0.291041
RECALL@3 0.092445
NDCG@3 0.495049
MAP@3 0.426683
PREC@5 0.252755
RECALL@5 0.126657
NDCG@5 0.500589
MAP@5 0.424988
PREC@10 0.204007
RECALL@10 0.196307
NDCG@10 0.504369
MAP@10 0.403001
AGG_DIV@1 126
GINI@1 0.9946332354959297
ENTROPY@1 1.7797426689824254
COVERAGE@1 0.013722500544543673
AGG_DIV@3 239
GINI@3 0.991429661345616
ENTROPY@3 1.9883991885311914
COVERAGE@3 0.026029187540840774
AGG_DIV@5 312
GINI@5 0.9892831260722154
ENTROPY@5 2.0934567402052098
COVERAGE@5 0.03397952515791766
AGG_DIV@10 493
GINI@10 0.9845683744122258
ENTROPY@10 2.25765017856515
COVERAGE@10 0.05369200609888913
